timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,packets,duration_sec,flag,label
2026-05-01 00:00:12,198.51.100.20,192.168.1.14,60420,80,TCP,2193,1216,37,56.31,SYN-ACK,normal
2026-05-01 00:00:25,203.0.113.80,192.168.1.200,49686,993,TCP,191,2430,67,16.22,FIN,normal
2026-05-01 00:00:27,192.168.1.10,192.168.1.100,61959,3306,TCP,837,1492,63,12.91,FIN,normal
2026-05-01 00:00:49,192.168.1.14,192.168.1.100,63027,110,TCP,920,398,1,54.32,PSH-ACK,normal
2026-05-01 00:00:55,192.168.1.13,192.168.1.101,60890,587,TCP,2997,3947,4,12.77,ACK,normal
2026-05-01 00:00:58,198.51.100.45,192.168.1.14,58976,110,TCP,1761,3319,20,40.81,ACK,normal
2026-05-01 00:01:10,192.168.1.12,203.0.113.5,56098,53,TCP,263,2734,37,56.65,SYN-ACK,normal
2026-05-01 00:01:16,192.168.1.14,203.0.113.5,54405,8080,TCP,2003,2019,13,62.29,FIN,normal
2026-05-01 00:01:18,198.51.100.45,192.168.1.12,54255,587,TCP,1843,1005,58,69.08,PSH-ACK,normal
2026-05-01 00:01:25,203.0.113.5,192.168.1.100,56933,8080,TCP,1682,1625,48,6.23,FIN,normal
2026-05-01 00:01:28,192.168.1.11,192.168.1.200,53417,53,UDP,757,2827,48,96.34,FIN,normal
2026-05-01 00:01:50,203.0.113.80,192.168.1.101,55718,53,UDP,2747,1308,23,36.16,SYN-ACK,normal
2026-05-01 00:01:50,192.168.1.10,198.51.100.100,56126,8080,TCP,1416,4123,53,78.41,SYN-ACK,normal
2026-05-01 00:01:51,203.0.113.80,192.168.1.13,51498,25,TCP,1265,1004,59,49.94,SYN-ACK,normal
2026-05-01 00:01:54,203.0.113.5,192.168.1.12,63488,8080,TCP,1095,2515,14,119.03,ACK,normal
2026-05-01 00:02:22,198.51.100.100,192.168.1.10,58008,53,UDP,740,2155,19,78.08,SYN-ACK,normal
2026-05-01 00:02:24,192.168.1.14,192.168.1.101,53938,110,TCP,1670,417,50,69.58,SYN-ACK,normal
2026-05-01 00:02:31,192.168.1.10,192.168.1.101,60530,80,TCP,1817,3322,22,65.84,ACK,normal
2026-05-01 00:02:31,192.168.1.10,198.51.100.45,55129,3306,TCP,945,4689,33,113.9,ACK,normal
2026-05-01 00:02:51,203.0.113.5,192.168.1.200,65296,80,TCP,1449,1704,10,77.46,PSH-ACK,normal
2026-05-01 00:03:02,192.168.1.10,192.168.1.101,58112,443,TCP,2193,3811,69,39.02,SYN-ACK,normal
2026-05-01 00:03:03,198.51.100.45,192.168.1.12,51478,443,TCP,487,4397,65,65.49,PSH-ACK,normal
2026-05-01 00:03:17,198.51.100.100,192.168.1.10,62929,443,TCP,2352,4655,63,71.35,FIN,normal
2026-05-01 00:03:26,192.168.1.12,192.168.1.100,62843,53,UDP,446,672,68,50.03,FIN,normal
2026-05-01 00:03:35,192.168.1.14,192.168.1.200,51538,587,TCP,2636,3803,32,100.48,PSH-ACK,normal
2026-05-01 00:03:55,192.168.1.12,192.168.1.100,50092,53,UDP,1335,4106,21,57.96,SYN-ACK,normal
2026-05-01 00:04:12,192.168.1.13,203.0.113.5,63399,3306,TCP,1897,313,59,56.66,PSH-ACK,normal
2026-05-01 00:04:21,192.168.1.12,192.168.1.100,50095,8080,TCP,2741,1675,69,71.42,ACK,normal
2026-05-01 00:04:33,198.51.100.20,192.168.1.12,60576,587,TCP,551,4585,9,104.45,PSH-ACK,normal
2026-05-01 00:04:45,198.51.100.45,192.168.1.14,59646,443,TCP,658,1300,19,46.88,PSH-ACK,normal
2026-05-01 00:04:48,198.51.100.20,192.168.1.14,54974,53,UDP,1600,3578,66,89.36,FIN,normal
2026-05-01 00:04:57,192.168.1.10,192.168.1.101,58056,110,TCP,69,584,5,94.12,FIN,normal
2026-05-01 00:05:15,192.168.1.13,192.168.1.101,51670,80,TCP,941,4392,39,77.78,FIN,normal
2026-05-01 00:05:36,192.168.1.10,192.168.1.100,57165,8080,TCP,230,200,6,56.62,PSH-ACK,normal
2026-05-01 00:05:49,198.51.100.45,192.168.1.100,49367,53,TCP,1983,1195,9,74.07,SYN-ACK,normal
2026-05-01 00:06:05,192.168.1.14,192.168.1.101,61059,110,TCP,1764,4156,53,101.58,SYN-ACK,normal
2026-05-01 00:06:18,198.51.100.45,192.168.1.101,60438,25,TCP,2844,570,77,27.7,PSH-ACK,normal
2026-05-01 00:06:42,198.51.100.45,192.168.1.11,61989,993,TCP,2593,1850,48,73.17,FIN,normal
2026-05-01 00:06:46,192.168.1.13,203.0.113.80,51996,587,TCP,1103,835,3,60.16,SYN-ACK,normal
2026-05-01 00:06:50,192.168.1.13,192.168.1.200,49696,25,TCP,2663,2739,47,104.81,FIN,normal
2026-05-01 00:06:56,203.0.113.5,192.168.1.101,62718,53,TCP,2357,4253,25,48.46,ACK,normal
2026-05-01 00:07:08,192.168.1.10,198.51.100.45,58233,587,TCP,2133,2292,33,30.64,ACK,normal
2026-05-01 00:07:08,192.168.1.14,198.51.100.100,64531,143,TCP,240,4668,22,47.44,PSH-ACK,normal
2026-05-01 00:07:19,198.51.100.100,192.168.1.11,59223,993,TCP,2492,3236,8,44.41,PSH-ACK,normal
2026-05-01 00:07:28,192.168.1.11,203.0.113.5,61850,993,TCP,2354,578,73,14.37,ACK,normal
2026-05-01 00:07:55,192.168.1.14,203.0.113.5,58403,443,TCP,1935,914,77,89.35,ACK,normal
2026-05-01 00:08:14,192.168.1.10,198.51.100.45,65086,53,TCP,2856,4989,76,83.53,FIN,normal
