dimension,current_state,gap,severity,benchmark,recommendation
Legal Framework,No dedicated AI law; reliance on DPA 2012 and E-Governance Act (RA 12254),No binding legal framework specifically governing AI development or deployment,5,Vietnam enacted AI Law No. 134/2025; EU AI Act operational since 2024,Enact Philippine AI Governance Act establishing risk-based regulatory framework
Institutional Architecture,"Multiple agencies (DICT, DOST, DEPDev) with overlapping AI mandates",No single coordinating authority for AI governance; fragmented jurisdiction,4,Singapore has dedicated AI agency (AISG); Thailand has NSTDA AI Center,Establish Philippine AI Authority under DEPDev or DICT with cross-agency coordination mandate
Risk Classification,No AI risk classification system in Philippine law or regulation,No mechanism to distinguish high-risk AI from low-risk applications,5,EU AI Act tiered risk (unacceptable/high/limited/minimal); ASEAN Guide recommends risk-based approach,Adopt ASEAN-aligned risk classification with mandatory assessment for high-risk government AI
Data Infrastructure,OECD Digital Government Index score 0.28/1.0 (third lowest in ASEAN-8),Government data systems are fragmented; limited interoperability; no national data strategy,5,Singapore scores 0.74; ASEAN average 0.37,Develop Philippine Government Data Strategy aligned with RA 12254 implementation
Workforce Capacity,SPARTA platform and DICT training programs exist but underscaled,Insufficient AI-literate civil servants; no AI competency framework for government,4,South Korea requires AI literacy for all senior officials; Singapore GovTech academy,Mandate AI literacy modules in CSC training; create GovTech career track
Algorithmic Transparency,No requirement for explainability or audit of government AI systems,Citizens have no mechanism to challenge AI-assisted government decisions,4,EU AI Act requires explanation for high-risk decisions; NZ Algorithm Charter,Adopt transparency register for government AI systems; implement NZ-style Algorithm Charter
Ethical Guidelines,NAISR 2.0 includes ethical principles but they are non-binding,No enforceable ethical standards; no ethics review process for government AI,3,ASEAN Guide provides principles; Thailand has AI ethics committee,Establish National AI Ethics Board with review authority over government AI deployments
Public Sector AI Adoption,"Pilot projects (DICT chatbots, DOST research) but no systematic deployment",No procurement framework for AI solutions; no standards for government AI,4,Indonesia Pancasila-grounded AI in public services; Malaysia MyDigital initiative,Issue DBM-GPPB circular on AI procurement requirements aligned with RA 9184
International Alignment,Signatory to ASEAN Guide; participant in UNESCO assessment; 2026 ASEAN Chair,Strong declaratory commitments but weak domestic implementation,3,Singapore leads ASEAN implementation; Brunei aligned national guide to ASEAN in 2025,Use ASEAN Chair presidency to advance ASEAN AI governance roadmap while accelerating domestic framework
Cybersecurity Integration,Cybercrime Prevention Act (RA 10175) and DICT cybersecurity mandate exist,"AI-specific cybersecurity risks (adversarial attacks, deepfakes) not addressed in current law",4,DICT Grok takedown order (2026) showed reactive capability but no proactive framework,Amend RA 10175 or issue DICT memorandum addressing AI-specific cybersecurity threats
